name,Team,primary,secondary
Arizona Diamondbacks,,#a71930,#000000
Atlanta Braves,,#ce1141,#13274f
Baltimore Orioles,,#df4601,#000000
Boston Red Sox,,#bd3039,#0d2b56
Chicago Cubs,,#cc3433,#0e3386
Chicago White Sox,,#000000,#c4ced4
Cincinnati Reds,,#c6011f,#000000
Colorado Rockies,,#333366,#231f20
Cleveland Guardians,,#e31937,#002b5c
Detroit Tigers,,#0c2c56,#FF6600
Houston Astros,,#002d62,#eb6e1f
Kansas City Royals,,#004687,#c09a5b
Los Angeles Angels,,#ba0021,#003263
Los Angeles Dodgers,,#005a9c,#005a9c
Miami Marlins,,#ff6600,#0077c8
Milwaukee Brewers,,#0a2351,#b6922e
Minnesota Twins,,#002b5c,#d31145
New York Mets,,#ff5910,#002d72
New York Yankees,,#003087,#FFFFFF
Oakland Athletics,,#003831,#efb21e
Philadelphia Phillies,,#284898,#e81828
Pittsburgh Pirates,,#fdb827,#000000
San Diego Padres,,#002d62,#fec325
San Francisco Giants,,#fd5a1e,#000000
Seattle Mariners,,#0c2c56,#005c5c
St. Louis Cardinals,,#c41e3a,#000066
Tampa Bay Rays,,#092c5c,#8fbce6
Texas Rangers,,#c0111f,#003278
Toronto Blue Jays,,#134a8e,#1d2d5c
Washington Nationals,,#ab0003,#11225b
