name,Team,Color
Anaheim Ducks,ANA,#a2aaad
Arizona Coyotes,ARI,#862633
Boston Bruins,BOS,#ffb81c
Buffalo Sabres,BUF,#003087
Calgary Flames,CGY,#f1be48
Carolina Hurricanes,CAR,#a2aaad
Chicago Blackhawks,CHI,#ff671f
Colorado Avalanche,COL,#236192
Columbus Blue Jackets,CBJ,#041e42
Dallas Stars,DAL,#006341
Detroit Red Wings,DET,#c8102e
Edmonton Oilers,EDM,#00205b
Florida Panthers,FLA,#041e42
Los Angeles Kings,LAK,#a2aaad
Minnesota Wild,MIN,#154734
Montreal Canadiens,MON,#001e62
Nashville Predators,NSH,#041e42
New Jersey Devils,NJ,#c8102e
New York Islanders,NYI,#003087
New York Rangers,NYR,#0033a0
Ottawa Senators,OTT,#c8102e
Philadelphia Flyers,PHI,#fa4616
Pittsburgh Penguins,PIT,#ffb81c
San Jose Sharks,SJ,#e57200
St. Louis Blues,STL,#041e42
Tampa Bay Lightning,TBL,#00205b
Toronto Maple Leafs,TOR,#00205b
Vancouver Canucks,VAN,#97999b
Vegas Golden Knights,VGK,#b4975a
Washington Capitals,WAS,#041e42
Winnipeg Jets,WIN,#c8102e
